folder,image_name,animal_label
gallina,OIP-50vmhkNIM1LKU3JoYIRmegHaFj.jpeg,5
gallina,OIP-o6-uEWaNg5X6y_zYuX-uCAHaEK.jpeg,5
gallina,OIP-jOW7_xA-oCSNQ9qqQUvx8QHaFj.jpeg,5
gallina,689.jpeg,5
gallina,OIP-QvhpBc8aDmocG5LSaZGhyQHaF7.jpeg,5
gallina,OIP-2AW-Ey2pmwe-sVfbVAiXZAHaHa.jpeg,5
gallina,OIP-baEUeCGLa1AOlZjTCWl2zgHaHV.jpeg,5
gallina,OIP-dDLjPFqnq6cpeejLPqEj-QHaGx.jpeg,5
gallina,OIP-wRqurTlqsPVnsjETnOEDegHaGc.jpeg,5
gallina,OIP-gIFlKBqxwsbC9wN8E7-eYQHaE7.jpeg,5
gallina,666.jpeg,5
gallina,OIP-QQOjltuNh0wqkXkfO6yCtAHaHa.jpeg,5
gallina,OIP-ppHc8CzLOQx9tnbeC4p6bgHaIM.jpeg,5
gallina,236.jpeg,5
gallina,OIP-uoYtaNjuM3dq1jLSMVrSpgHaFj.jpeg,5
gallina,OIP-tfpN2mDEqLwXt6v6-1m0zQHaF7.jpeg,5
gallina,OIP-b3OVM5sQs3NX9ZqvZTejuwHaEN.jpeg,5
gallina,OIP-YTRdAUfaVbsSu6DB2klLfwHaG_.jpeg,5
gallina,OIP-TcKLuJNvZ6pZe3DxZo3D7wHaHa.jpeg,5
gallina,OIP-raSHAiMYHu7c-I3qCJ2rngHaKG.jpeg,5
gallina,OIP-x9DC-u9s3LrRvHK2d3qvQwHaI2.jpeg,5
gallina,1080.jpeg,5
gallina,OIP-9OnPmCKrbb7zY2bjGlziywHaFj.jpeg,5
gallina,OIP-G6WJpGlXVyOgQfwtF-tx2AHaG2.jpeg,5
gallina,OIP-xRUJ5vM6GX9-kI3DoW48pQHaEw.jpeg,5
gallina,OIP-eSgk7Dhk4ysTMe-Tit4POwHaDm.jpeg,5
gallina,OIP-nJiZVivSyNI7EDI_ICf0wQHaFj.jpeg,5
gallina,OIP-Dz4RELcVx-Ri4qg6eVtbfAHaFj.jpeg,5
gallina,OIP-9YVMjxXYNj9BTx49SbY6NwHaFe.jpeg,5
gallina,OIP-RIK6-ULsRDaSfcyFz9EBPAHaKc.jpeg,5
